"anio","unidad_legal_tipo","codigo_provincia","plazas_totales"
2012,"Persona Jurídica","01",51131
2012,"Persona Jurídica","02",3985
2012,"Persona Jurídica","03",7044
2012,"Persona Jurídica","04",3908
2012,"Persona Jurídica","05",7133
2012,"Persona Jurídica","06",11664
2012,"Persona Jurídica","07",18325
2012,"Persona Jurídica","08",7265
2012,"Persona Jurídica","09",317430
2012,"Persona Jurídica","10",10683
2012,"Persona Jurídica","11",12969
2012,"Persona Jurídica","12",11776
2012,"Persona Jurídica","13",27574
2012,"Persona Jurídica","14",2202
2012,"Persona Jurídica","15",1068
2012,"Persona Jurídica","16",1227
2012,"Persona Jurídica","17",334757
2012,"Persona Jurídica","18",561
2012,"Persona Jurídica","19",63
2012,"Persona Jurídica","20",452
2012,"Persona Jurídica","21",1243
2012,"Persona Jurídica","22",1473
2012,"Persona Jurídica","23",5782
2012,"Persona Jurídica","24",6335
2012,"Persona Jurídica","90",85
2012,"Persona Natural","01",24433
2012,"Persona Natural","02",1540
2012,"Persona Natural","03",3976
2012,"Persona Natural","04",2162
2012,"Persona Natural","05",5156
2012,"Persona Natural","06",7916
2012,"Persona Natural","07",10545
2012,"Persona Natural","08",3927
2012,"Persona Natural","09",49267
2012,"Persona Natural","10",8733
2012,"Persona Natural","11",8622
2012,"Persona Natural","12",6269
2012,"Persona Natural","13",15106
2012,"Persona Natural","14",1537
2012,"Persona Natural","15",1087
2012,"Persona Natural","16",1052
2012,"Persona Natural","17",69830
2012,"Persona Natural","18",3413
2012,"Persona Natural","19",446
2012,"Persona Natural","20",509
2012,"Persona Natural","21",1438
2012,"Persona Natural","22",921
2012,"Persona Natural","23",6907
2012,"Persona Natural","24",2150
2013,"Persona Jurídica","01",60667
2013,"Persona Jurídica","02",4163
2013,"Persona Jurídica","03",7212
2013,"Persona Jurídica","04",4124
2013,"Persona Jurídica","05",8309
2013,"Persona Jurídica","06",12892
2013,"Persona Jurídica","07",19303
2013,"Persona Jurídica","08",7352
2013,"Persona Jurídica","09",315825
2013,"Persona Jurídica","10",12462
2013,"Persona Jurídica","11",16008
2013,"Persona Jurídica","12",13149
2013,"Persona Jurídica","13",28288
2013,"Persona Jurídica","14",2310
2013,"Persona Jurídica","15",2164
2013,"Persona Jurídica","16",1256
2013,"Persona Jurídica","17",345569
2013,"Persona Jurídica","18",716
2013,"Persona Jurídica","19",65
2013,"Persona Jurídica","20",433
2013,"Persona Jurídica","21",1438
2013,"Persona Jurídica","22",4193
2013,"Persona Jurídica","23",6233
2013,"Persona Jurídica","24",6657
2013,"Persona Natural","01",24716
2013,"Persona Natural","02",1530
2013,"Persona Natural","03",4017
2013,"Persona Natural","04",2152
2013,"Persona Natural","05",5543
2013,"Persona Natural","06",7915
2013,"Persona Natural","07",11464
2013,"Persona Natural","08",4006
2013,"Persona Natural","09",51005
2013,"Persona Natural","10",8799
2013,"Persona Natural","11",8976
2013,"Persona Natural","12",6315
2013,"Persona Natural","13",15075
2013,"Persona Natural","14",1652
2013,"Persona Natural","15",1146
2013,"Persona Natural","16",1095
2013,"Persona Natural","17",70633
2013,"Persona Natural","18",3292
2013,"Persona Natural","19",445
2013,"Persona Natural","20",510
2013,"Persona Natural","21",1460
2013,"Persona Natural","22",985
2013,"Persona Natural","23",7118
2013,"Persona Natural","24",2240
2014,"Persona Jurídica","01",60698
2014,"Persona Jurídica","02",4088
2014,"Persona Jurídica","03",6855
2014,"Persona Jurídica","04",4408
2014,"Persona Jurídica","05",8508
2014,"Persona Jurídica","06",13263
2014,"Persona Jurídica","07",20398
2014,"Persona Jurídica","08",7680
2014,"Persona Jurídica","09",321595
2014,"Persona Jurídica","10",11685
2014,"Persona Jurídica","11",16512
2014,"Persona Jurídica","12",12812
2014,"Persona Jurídica","13",28133
2014,"Persona Jurídica","14",2605
2014,"Persona Jurídica","15",3638
2014,"Persona Jurídica","16",1263
2014,"Persona Jurídica","17",343695
2014,"Persona Jurídica","18",695
2014,"Persona Jurídica","19",91
2014,"Persona Jurídica","20",483
2014,"Persona Jurídica","21",1505
2014,"Persona Jurídica","22",4147
2014,"Persona Jurídica","23",6035
2014,"Persona Jurídica","24",6744
2014,"Persona Natural","01",24634
2014,"Persona Natural","02",1462
2014,"Persona Natural","03",3973
2014,"Persona Natural","04",2087
2014,"Persona Natural","05",5611
2014,"Persona Natural","06",7622
2014,"Persona Natural","07",12009
2014,"Persona Natural","08",4116
2014,"Persona Natural","09",50591
2014,"Persona Natural","10",8424
2014,"Persona Natural","11",8865
2014,"Persona Natural","12",6392
2014,"Persona Natural","13",14870
2014,"Persona Natural","14",1538
2014,"Persona Natural","15",1058
2014,"Persona Natural","16",1034
2014,"Persona Natural","17",69143
2014,"Persona Natural","18",3170
2014,"Persona Natural","19",457
2014,"Persona Natural","20",592
2014,"Persona Natural","21",1579
2014,"Persona Natural","22",1036
2014,"Persona Natural","23",7145
