"long","lat","order","hole","piece","DPA_PROVIN","group"
770262.3294,9716934.1303,1,FALSE,"1","01","01.1"
771727.1451,9716771.862,2,FALSE,"1","01","01.1"
770488.5393,9713392.4104,3,FALSE,"1","01","01.1"
771134.0242,9711302.4199,4,FALSE,"1","01","01.1"
773872.1353,9709416.8037,5,FALSE,"1","01","01.1"
774821.8906,9710201.0619,6,FALSE,"1","01","01.1"
775445.592,9712810.7276,7,FALSE,"1","01","01.1"
776377.5085,9714247.0631,8,FALSE,"1","01","01.1"
778187.8684,9715434.9593,9,FALSE,"1","01","01.1"
780140.9967,9715350.0325,10,FALSE,"1","01","01.1"
782351.6511,9713323.2849,11,FALSE,"1","01","01.1"
784217.5981,9712952.1704,12,FALSE,"1","01","01.1"
786213.9658,9710323.1686,13,FALSE,"1","01","01.1"
786633.1827,9708898.4631,14,FALSE,"1","01","01.1"
785233.5251,9707490.3695,15,FALSE,"1","01","01.1"
780763.4649,9705368.0182,16,FALSE,"1","01","01.1"
779595.225,9705678.3488,17,FALSE,"1","01","01.1"
776368.2441,9703666.5415,18,FALSE,"1","01","01.1"
774564.5537,9701974.4742,19,FALSE,"1","01","01.1"
771648.8029,9701678.3976,20,FALSE,"1","01","01.1"
769300.71,9700493.0842,21,FALSE,"1","01","01.1"
766908.4878,9694504.7231,22,FALSE,"1","01","01.1"
765154.5205,9692005.6552,23,FALSE,"1","01","01.1"
767434.9532,9688154.5858,24,FALSE,"1","01","01.1"
769271.2656,9687202.5998,25,FALSE,"1","01","01.1"
769645.5503,9684819.6054,26,FALSE,"1","01","01.1"
766808.5481,9682301.7077,27,FALSE,"1","01","01.1"
765068.0536,9679302.2722,28,FALSE,"1","01","01.1"
763199.3928,9677556.0109,29,FALSE,"1","01","01.1"
763647.9237,9675432.1512,30,FALSE,"1","01","01.1"
762691.4403,9673581.5739,31,FALSE,"1","01","01.1"
763327.1093,9671662.6739,32,FALSE,"1","01","01.1"
762465.6775,9670204.192,33,FALSE,"1","01","01.1"
760276.4677,9668965.5274,34,FALSE,"1","01","01.1"
760426.6192,9667549.9371,35,FALSE,"1","01","01.1"
758654.3485,9665293.8819,36,FALSE,"1","01","01.1"
758570.8893,9661175.5137,37,FALSE,"1","01","01.1"
757314.0032,9660342.4023,38,FALSE,"1","01","01.1"
756880.7124,9656507.8646,39,FALSE,"1","01","01.1"
755247.0462,9654043.6816,40,FALSE,"1","01","01.1"
752231.9188,9652490.4119,41,FALSE,"1","01","01.1"
749990.1022,9651939.1455,42,FALSE,"1","01","01.1"
749482.9371,9650535.2538,43,FALSE,"1","01","01.1"
747277.8716,9649300.4171,44,FALSE,"1","01","01.1"
745684.9927,9647157.0693,45,FALSE,"1","01","01.1"
743193.5281,9645056.431,46,FALSE,"1","01","01.1"
741577.1529,9642688.1661,47,FALSE,"1","01","01.1"
739866.039,9641140.7118,48,FALSE,"1","01","01.1"
738175.3453,9642776.3021,49,FALSE,"1","01","01.1"
735606.8189,9640514.8299,50,FALSE,"1","01","01.1"
733162.2937,9639786.595,51,FALSE,"1","01","01.1"
731755.0645,9637930.5988,52,FALSE,"1","01","01.1"
729328.8946,9637699.6329,53,FALSE,"1","01","01.1"
729553.3068,9635740.9761,54,FALSE,"1","01","01.1"
727381.5982,9634971.5139,55,FALSE,"1","01","01.1"
728106.9682,9633567.0665,56,FALSE,"1","01","01.1"
728547.1751,9630430.9957,57,FALSE,"1","01","01.1"
724559.6801,9629421.1199,58,FALSE,"1","01","01.1"
719022.2413,9627007.1827,59,FALSE,"1","01","01.1"
719102.9447,9625803.9166,60,FALSE,"1","01","01.1"
717729.7051,9624707.0383,61,FALSE,"1","01","01.1"
715561.6207,9620844.1286,62,FALSE,"1","01","01.1"
716038.6311,9617450.5556,63,FALSE,"1","01","01.1"
717393.5952,9615957.7372,64,FALSE,"1","01","01.1"
717162.6233,9614655.2334,65,FALSE,"1","01","01.1"
714973.9695,9612894.9062,66,FALSE,"1","01","01.1"
714756.8893,9611459.463,67,FALSE,"1","01","01.1"
715744.1486,9608986.4735,68,FALSE,"1","01","01.1"
717262.025,9607352.8227,69,FALSE,"1","01","01.1"
715946.7397,9604879.8421,70,FALSE,"1","01","01.1"
715917.1469,9601328.2625,71,FALSE,"1","01","01.1"
713174.6694,9599249.5461,72,FALSE,"1","01","01.1"
711567.7526,9599056.2678,73,FALSE,"1","01","01.1"
708965.343,9601724.6812,74,FALSE,"1","01","01.1"
707579.0254,9601743.0637,75,FALSE,"1","01","01.1"
706660.4827,9606469.6533,76,FALSE,"1","01","01.1"
707361.9603,9608444.7043,77,FALSE,"1","01","01.1"
707009.374,9609871.9209,78,FALSE,"1","01","01.1"
705175.9224,9611597.8738,79,FALSE,"1","01","01.1"
704276.4464,9616200.6444,80,FALSE,"1","01","01.1"
702718.4077,9616511.9883,81,FALSE,"1","01","01.1"
702137.9701,9619351.5861,82,FALSE,"1","01","01.1"
697991.5515,9617976.3223,83,FALSE,"1","01","01.1"
692689.7916,9615448.8533,84,FALSE,"1","01","01.1"
691397.1189,9615503.0734,85,FALSE,"1","01","01.1"
690021.0133,9616656.5279,86,FALSE,"1","01","01.1"
688410.1539,9620926.5874,87,FALSE,"1","01","01.1"
688877.8142,9623186.0131,88,FALSE,"1","01","01.1"
687911.4247,9623999.1733,89,FALSE,"1","01","01.1"
688692.5582,9626549.0783,90,FALSE,"1","01","01.1"
688224.6108,9628744.8925,91,FALSE,"1","01","01.1"
685332.8763,9630394.1765,92,FALSE,"1","01","01.1"
679750.1957,9629965.2219,93,FALSE,"1","01","01.1"
676777.3826,9630412.4714,94,FALSE,"1","01","01.1"
674522.226,9630285.3974,95,FALSE,"1","01","01.1"
671980.9845,9631752.5369,96,FALSE,"1","01","01.1"
670938.4485,9631757.4129,97,FALSE,"1","01","01.1"
668688.2123,9633374.9687,98,FALSE,"1","01","01.1"
664917.998,9634307.1581,99,FALSE,"1","01","01.1"
662227.9061,9633545.4046,100,FALSE,"1","01","01.1"
658933.9552,9633573.6854,101,FALSE,"1","01","01.1"
657681.6924,9632426.5598,102,FALSE,"1","01","01.1"
649354.7821,9632321.7106,103,FALSE,"1","01","01.1"
648514.8961,9632896.8606,104,FALSE,"1","01","01.1"
650602.3797,9634950.8384,105,FALSE,"1","01","01.1"
651873.1129,9638764.6205,106,FALSE,"1","01","01.1"
651535.5995,9641014.2998,107,FALSE,"1","01","01.1"
653152.3973,9643214.7871,108,FALSE,"1","01","01.1"
655315.0083,9644416.8327,109,FALSE,"1","01","01.1"
655822.8605,9648482.893,110,FALSE,"1","01","01.1"
653400.8215,9651842.1936,111,FALSE,"1","01","01.1"
651780.5535,9653178.4363,112,FALSE,"1","01","01.1"
646560.565,9655525.1115,113,FALSE,"1","01","01.1"
645709.6044,9656656.3524,114,FALSE,"1","01","01.1"
640502.0406,9657782.4501,115,FALSE,"1","01","01.1"
637437.4359,9661402.2212,116,FALSE,"1","01","01.1"
638963.9536,9662408.3383,117,FALSE,"1","01","01.1"
640653.2841,9667239.4818,118,FALSE,"1","01","01.1"
641720.8341,9666670.0757,119,FALSE,"1","01","01.1"
642650.8237,9669052.0981,120,FALSE,"1","01","01.1"
641585.0257,9670564.5998,121,FALSE,"1","01","01.1"
648449.0959,9671352.0648,122,FALSE,"1","01","01.1"
649565.4954,9669838.0579,123,FALSE,"1","01","01.1"
650569.891,9670181.3133,124,FALSE,"1","01","01.1"
649902.7031,9675427.7132,125,FALSE,"1","01","01.1"
656215.1703,9679135.1504,126,FALSE,"1","01","01.1"
656090.68,9680742.1345,127,FALSE,"1","01","01.1"
654670.3134,9681527.5723,128,FALSE,"1","01","01.1"
